channel_id,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos,new_tags,Month
CH920m3,Entertainment,PT23M15S,"['조세호', '뽀로로', '유퀴즈', '아이유', '유퀴즈온더블럭', '유재석', '100회특집']",#유퀴즈온더블럭 EP.100매주 수요일 저녁 8시 40분 tvN#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #100회특집 #00의현실판 #아이유 #최소라#아이유 #이지은,2021-04-02,2021-04-02,34,34,1148104,1148104,21540,21540,300,300,1623,1623,538000,538000,178428137,178428137,2078,2078,유재석,3
CHG9aFJ,News & Politics,PT7M56S,"['가족', 'mbn', '오열', '경험', '다홍이', '뉴스파이터', 'sns', '고양이', '김명준앵커', '박수홍']",[출연자]오윤성 순천향대 경찰행정학과 교수장윤미 변호사박성배 변호사최정아 연예전문기자김유진 아나운서#MBN #박수홍 #오열 #다홍이 #뉴스파이터 #김명준앵커화면 출처 : 박수홍 SNS 화면 출처 : 유튜브 '검은고양이 다홍 Blackcat Dahong' *해당 내용은 관련 동영상 참고[ 저작권자 ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 ]☞ MBN 유튜브 구독하기  ☞ https://goo.gl/6ZsJGT📢 MBN 유튜브 커뮤니티https://www.youtube.com/user/mbn/community?disable_polymer=1MBN 페이스북 http://www.facebook.com/mbntvMBN 인스타그램 https://www.instagram.com/mbn_news/,2021-03-31,2021-04-02,1,30,932967,1211445,9920,11658,385,471,2399,2784,710000,715000,739470331,743157146,84305,84532,mbn,3
CHkinYT,News & Politics,PT1M45S,"['news network', '에스비에스', '서울 방송', '에스비에스 뉴스', 'sbs news', 'sbs', '횡령', '대한민국 뉴스', 'korea news', '자신', 'korean news', 'seoul broadcasting system', 'sbs 뉴스', '박수홍', '100억']","온라인상에서 방송인 박수홍 씨의 친형에 대한 횡령 의혹이 불거졌는데요, 박수홍 씨는 지난 30년간 자신이 일궈온 재산을 친형에게 모두 빼앗겼다며 절연하겠다는 뜻을 밝혔습니다.횡령 의혹은 박수홍 씨가 반려묘 다홍이와 함께 하는 유튜브 채널의 댓글에서 시작됐습니다.박수홍 씨가 데뷔 초부터 형에게 매니저 일을 맡겼는데 100억대의 재산이 사라진 것을 최근에야 알고 큰 충격에 빠졌다는 내용이었습니다.원문 기사 더보기 https://news.sbs.co.kr/y/?id=N1006261297[굿모닝 연예] 기사 더보기 https://news.sbs.co.kr/y/t/?id=10000000218 #SBS뉴스 #굿모닝연예 #박수홍▶SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ▶SBS 뉴스 라이브 : https://n.sbs.co.kr/youtubeLive , https://n.sbs.co.kr/live ▶SBS 뉴스 제보하기홈페이지: https://n.sbs.co.kr/inform 애플리케이션: 'SBS뉴스' 앱 설치하고 제보 - https://n.sbs.co.kr/App 카카오톡: 'SBS뉴스'와 친구 맺고 채팅 - https://pf.kakao.com/_ewsdq/chat 페이스북: 'SBS뉴스' 메시지 전송 - https://www.facebook.com/sbs8news 이메일: sbs8news@sbs.co.kr 문자: #6000 전화: 02-2113-6000 홈페이지: https://news.sbs.co.kr/ 페이스북: https://www.facebook.com/sbs8news 트위터: https://www.twitter.com/sbs8news카카오톡: https://pf.kakao.com/_ewsdq인스타그램: https://www.instagram.com/sbsnews",2021-04-01,2021-04-01,29,29,1113920,1113920,8452,8452,233,233,4550,4550,1330000,1330000,2080491740,2080491740,101180,101180,sbs,3
CHGiqkg,People & Blogs,PT29S,"['무쇠맨', '한국인속도', '부추맨', '야미맨']",안녕하십니까!무쇠맨입니다!요즘 라면을 너무 안 먹었습니다!땡겨서 먹는 김에 영상 찍었습니다.초반 느낌으로다가ㅋㅋ#shorts #신라면먹방  #무쇠맨 채널에 가입하여 작은 혜택을 누려보세요.https://www.youtube.com/channel/UCGiqkgSsKPWI3Sn4mGs54fw/joininspiration from how to basic👍👍[사용하는 제품]⨀링크를 통해 구매하시면 제가 일정 수수료를 받습니다.- 시즈닝 필요없는 스테이크용 (선택 17~25cm) 무쇠팬 https://coupa.ng/bQG3Nl- 납작한 무쇠팬  https://coupa.ng/bQdGL8- 글로벌 칼  https://coupa.ng/bP7UPt- 대만 엽정리 중식칼 https://coupa.ng/bP7VtO- 무코팅 후라이팬 https://coupa.ng/bP7WgE- 베이지색 쁘띠 후라이팬 https://coupa.ng/bQnwqj- 알뜰주걱 https://coupa.ng/bSAZ6Q- 매우 저렴 간지칼 https://coupa.ng/bS5fcz- 커피포트 https://coupa.ng/bUHaAC- 부추맨 https://coupa.ng/bSAZXk- 토마토퓨레 https://coupa.ng/bQnh2g- 나랑드사이다1.5L 12개 https://coupa.ng/bQns7B- 라인프랜즈 오븐  https://coupa.ng/bP7Tch - 라인프랜즈 워머 컵 https://coupa.ng/bQ8vED- 핸드 믹서 https://coupa.ng/bQPJIH- 토스터기 https://coupa.ng/bQntkm- 토치 https://coupa.ng/bQntCw- 캄포나무 도마 https://coupa.ng/bQnt8E- 중파운드 팬 https://coupa.ng/bQnuVl- 피자 원형팬 https://coupa.ng/bQnsJf- 조비 삼각대 https://coupa.ng/bQnxjW- 무쇠맨이 먹는 프로틴  https://coupa.ng/bQnxCa,2021-04-01,2021-04-03,13,41,525093,675663,7050,8928,342,479,1371,1537,198000,203000,36671307,38838954,99,101,무쇠맨,3
CHlzB2i,Entertainment,PT16M42S,"['게임', 'variety', '버라이어티', 'game', '예능', '파뿌리', '플레이', '오락', '웹예능']","※ 노랭이 PD : 나는 돼지고기야!!!※ 강호이 : 나는 소고기!!※ 진렬이 : 나는.. 나는..!!! 으아아아아!!#파뿌리24파뿌리 채널 구독하기 ☞ https://url.kr/IPn4hC상경한 세 남자의 유쾌한 매력에 빠져보세요!!파뿌리24 영상 몰아보기 ☞ https://url.kr/SDQwbZ 복층라이프 몰아보기 ☞ https://url.kr/w3lLgh파뿌리 저가락 몰아보기 ☞ https://url.kr/5IUCuO슈퍼푸드보이 몰아보기 ☞ https://url.kr/JEGKBi랜덤챌린지 몰아보기 ☞ https://url.kr/iK3q9R퀴즈먹방 몰아보기 ☞ https://url.kr/QXLzIP뿌이로그 몰아보기  ☞ https://url.kr/M9DVLH1분 리뷰 몰아보기 ☞ https://url.kr/nufm3C[이메일] 콘텐츠요청, 팬 아트, 보내주고픈 말들 : popfree@sandboxnetwork.net[팬사서함] 서울시 용산구 서빙고로 17 센트럴파크타워, 30층 샌드박스받는 사람명 - 파뿌리",2021-03-30,2021-04-03,1,44,974133,1327526,13076,15197,648,838,4101,4605,1150000,1150000,850188820,854331496,1239,1242,game,3
CHRuSxV,Film & Animation,PT5M38S,"['웃긴사연', '사연', '도티', '재밌는사연', '무서운사연', '총몇명']","오늘은 도티님께 사연 하나를 요청드렸습니다.시청해주셔서 감사드립니다.https://forms.gle/coNJn6tshAGaartR6사연은 여기로 부탁드릴게요!총몇명 스튜디오 - 총몇명, 십제곱, 5G수, 김찬스, Thumb, Jin",2021-04-02,2021-04-04,26,44,881307,1089595,23072,25892,383,459,2851,3055,2260000,2260000,692663694,693457654,272,272,만화,3
CHIY5oU,Entertainment,PT5M59S,"['승우아빠 철원일기', '철원', '철원일기', '승우아빠']","철모닝 (철원의 맥모닝 이라는 뜻)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　#승우아빠​​ #철원일기 #아궁이요리​오늘은 비내리는 철원에서 아궁이로 요리해 봤습니다철모닝*오프닝 BGM - 리코더대가 주호민님https://www.youtube.com/channel/UCFsyeRb-ShbdPQ2azhd6-fg*엔딩 BGM - 멜로디훈님 https://www.youtube.com/user/melodyhoon전원일기 BGM 참여를 원하시는 분은 언제든 연락 주세요!swabevent@gmail.com✔️ 트위치 https://www.twitch.tv/swab85​​​✔️ 공식카페 https://cafe.naver.com/swab​​​📪 문의 seungwoodaddy@sandboxnetwork.net🎁  택배수령주소 : 서울시 용산구 서빙고로 17 센트럴파크타워, 30층 샌드박스 승우아빠냉장 보관이 불가능하기 때문에 식품류는 수령이 불가능합니다",2021-03-30,2021-04-01,25,46,214098,276759,3795,4294,82,108,461,506,79600,80900,1045186,1210288,4,4,승우아빠,3
CHDb1t5,Entertainment,PT1M11S,"['音mad', '리믹스']",소재 : 아기공룡 둘리 in 고길동원곡 : 브레이브걸스 - 롤린 (Rollin') ( https://youtu.be/nw6mcjNlh8E )*사용한 반주 : https://youtu.be/MEdk239VLE8( Brave Girls - Rollin' Instrumental REMAKE [MIDI COPY] 브레이브걸스 롤린 Inst 미디 카피 MR )DANPIA님 반주 사용 허락 감사합니다.[코멘트]종로스타 1주년 기념으로 만들어봤습니다.#브레이브걸스 #Rollin #둘리여유만만 트위치 : https://www.twitch.tv/huk102030,2021-04-02,2021-04-05,13,50,430205,1663930,25466,55276,132,403,4819,7827,257000,270000,73404625,75235201,40,39,音mad,3
CHUkuuo,Science & Technology,PT1M5S,"['과학', '뉴스', '사이언스투데이', 'ytn사이언스', '사이언스tv']",미얀마 소수민족 무장단체들이 군부에 맞서 힘을 합치기로 선언하면서 반 군부 무장세력의 결집이 이뤄질지 주목됩니다.현지 시간 30일 서부 라카인주에 있는 강력한 아라칸군(AA)을 포함한 3개 무장단체는 군부의 살인이 멈추지 않는다면 반 군부 세력에 동참하겠다고 선언했습니다.군부를 피해 은신해 있는 여권 인사들은 내일(4월 1일) 소수민족 지도자가 참여하는 통합 정부를 출범하겠다고 밝혔습니다.임시 정부격인 연방의회대표위원회(CRPH)가 임명한 사사 유엔 특사는 소수민족과 시민사회 지도자와 함께 임시 연방헌법을 마련 중이고 정부군에 대적할 연방군 창설도 논의 중이라고 말했습니다.이런 가운데 영국 군사정보 컨설팅 업체의 보안분석가 앤서니 데이비스는 미얀마 소수민족 무장단체가 보유한 병력을 합치면 7만5천 명에 달할 거라며 만일 여러 곳에서 다발적으로 전투가 벌어진다면 35만 명에 달하는 미얀마 정부군과 충분히 맞설 수 있을 거라고 로이터 통신에 말했습니다.사사 특사는 만약 국제사회가 행동에 나서지 않는다면 내전을 피하지 못할 거라며 연방군 창설은 필수적이고 민주주의와 자유를 달성하는 길이라고 강조했습니다.반면 수십 년간 지속된 소수민족 간 분쟁으로 소수민족 무장단체들이 세력을 합치기는 현실적으로 쉽지 않다는 분석도 나옵니다.카렌민족진보당(KNPP)의 꾸 오 레 부의장도 무장단체의 통합 논의는 긍정적이지만 집단 간 견해차는 70년간 계속됐다고 전했습니다.[YTN 사이언스 기사원문] https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202103311611357475,2021-04-02,2021-04-02,11,11,137274,137274,953,953,27,27,677,677,24900,24900,13066943,13066943,12071,12071,ytn사이언스,3
CHJmcPV,Entertainment,PT13M39S,"['장사', '박미선', '미선임파서블', '분식집', '국민손자', '1인분', '박미선이봉원', '한끼', '누가할래', '신라면', '푸드파이터', '너구리', '웅이 먹방', '미션임파서블', 'mukbang', '박미선tv', '대식가', '꿀잼', '코미디언', '오징어짬뽕', '박미선이경실', '식사', '나는박미선', '예능', '김밥 재료', '박미선 개그', '할머니', '박미선유튜브', '김밥', '스팸', '대결', '히밥', '누가 할래', '콜라', '푸드파이트', '예능인', '순풍산부인과', '우삼겹', '라면', '라면 먹방', '박미선 인연', '박미선 인생술집', '웅이', '분식', '손자', '먹방', '진라면', '내가 할게 누가 할래', '할머니와 손자', '히밥 먹방', '박미선김택용', '히밥 라면', '짜파구리', '푸파', '도전 먹방', '미달이엄마', '대접']",요원들 ~ 요하🙋‍♀️오늘은 유튜브를 보면서 정말 나를 울고 웃게 했던웅이님을 초대했습니다 👏👏 웅이 너무 잘 먹드라 ㅎ우리 채널에 나와줘서 너무 고맙구 요즘은 콜라 적당히 마시는 것 같아서 좋드라 웅아 ~☺️다음에 또 나와줘 😍우리 요원들도 영상 끝까지 봐주고 구독도 심심하면 눌러줘 😎미선에게 불가능이란 없다 [미선임파서블][웅이woongei] https://bit.ly/3rp1FzY[미선임파서블 구독] https://bit.ly/34ZhsNX#박미선 #미선임파서블 #웅이 #미선이네 #박미선유튜브 #요즘것들STAFF촬영: 그림형제음향: 빅스톤스튜디오믹싱: 매드벅스,2021-03-28,2021-04-01,5,35,572113,2002453,9566,23896,228,655,522,1097,419000,434000,31302574,33750179,76,76,박미선,3
